"city", "country", "latitude", "longitude"
"Rome", "Italy", "41.9028", "12.4964"
"Athens", "Greece", "37.9838", "23.7275"
"Mykonos", "Greece", "37.4415", "25.3667"
"Milan", "Italy", "45.4642", "9.1900"
"Madrid", "Spain", "40.4168", "-3.7038"
"Valencia", "Spain", "39.4699", "-0.3763"
"Segovia", "Spain", "40.9429", "-4.1088"
"Syracuse", "Italy", "37.0755", "15.2866"
"Orlando", "United States", "28.5384", "-81.3789"
"San Diego", "United States", "32.7157", "-117.1611"
"Ephesus", "Turkyie", "37.5628", "27.2031"
"Delos", "Greece", "37.3963", "25.2689"
"Tulum", "Mexico", "20.2114", "-87.4654"
"Belize City", "Belize", "17.5046", "-88.1962"
"Palm Beach", "Aruba", "12.5684", "-70.0461"
"Hilton Head Island", "United States", "32.2163", "-80.7526"
"Savannah", "United States", "32.0809", "-81.0912"
"Charleston", "United States", "32.7765", "-79.9311"
"Grand Cayman", "Cayman Islands", "19.3222", "-81.2409"
"Toldeo", "Spain", "39.8628", "-4.0273"
"Pompeii", "Italy", "40.7462", "14.4989"
"Vatican City", "Vatican", "41.9029", "12.4534"
"Santorini", "Greece", "36.3932", "25.4615"
"Lake Como", "Italy", "46.0160", "9.2572"
